City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Cienfuegos,CU,2021-02-02 21:47:53,22.1461,-80.4356,77.0,41,20,11.5
263,Lesosibirsk,RU,2021-02-02 21:44:03,58.2358,92.4828,-2.67,92,100,1.19
264,Cayenne,GF,2021-02-02 21:43:16,4.9333,-52.3333,78.8,94,40,6.91
265,Sestri Levante,IT,2021-02-02 21:47:53,44.2732,9.3968,51.01,83,38,4.0
266,Satipo,PE,2021-02-02 21:47:53,-11.2522,-74.6386,83.37,58,71,3.02
267,Kaduqli,SD,2021-02-02 21:47:53,11.0167,29.7167,75.78,19,8,6.49
268,Imeni Poliny Osipenko,RU,2021-02-02 21:47:54,52.4201,136.4853,-27.2,85,100,2.93
269,Dolores,AR,2021-02-02 21:47:54,-36.3132,-57.6792,69.06,88,88,10.25
270,Chokurdakh,RU,2021-02-02 21:43:36,70.6333,147.9167,-9.02,89,70,9.28
271,Ngunguru,NZ,2021-02-02 21:47:54,-35.6167,174.5,73.99,59,14,4.0
272,Teguise,ES,2021-02-02 21:47:54,29.0605,-13.564,62.6,88,20,10.36
273,Provideniya,RU,2021-02-02 21:43:12,64.3833,-173.3,6.69,90,100,18.7
274,Balkhash,KZ,2021-02-02 21:47:54,46.844,74.9804,11.25,90,19,3.69
275,La Union,PE,2021-02-02 21:47:55,-5.4,-80.75,85.01,48,10,16.04
276,Bouake,CI,2021-02-02 21:47:55,7.6895,-5.0218,86.0,35,7,2.3
277,Kapit,MY,2021-02-02 21:47:55,2.0167,112.9333,73.36,94,99,1.28
278,Lakes Entrance,AU,2021-02-02 21:47:55,-37.8811,147.981,57.0,85,81,6.55
279,Deputatskiy,RU,2021-02-02 21:47:55,69.3,139.9,-24.59,88,100,0.22
280,Kaspiysk,RU,2021-02-02 21:47:55,42.8816,47.6392,39.2,93,75,4.47
281,Goderich,CA,2021-02-02 21:47:55,43.7501,-81.7165,28.4,74,87,17.27
