City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Emporia,US,38.4039,-96.1817,26.6,59,90,13.8,overcast clouds
210,Ribeira Grande,PT,38.5167,-28.7,60.8,88,75,24.16,broken clouds
211,Soe,ID,-9.8607,124.284,66.42,100,93,3.56,overcast clouds
212,Sangueya,GN,10.7,-14.3667,100.89,11,23,8.14,few clouds
213,Lavrentiya,RU,65.5833,-171.0,-4.02,82,81,6.15,broken clouds
214,Marawi,PH,7.9986,124.2928,75.0,91,99,5.01,overcast clouds
215,Lashio,MM,22.9333,97.75,59.83,62,58,1.92,broken clouds
216,Severo-Kurilsk,RU,50.6789,156.125,20.12,94,100,16.04,light snow
217,Provideniya,RU,64.3833,-173.3,2.08,92,71,4.09,broken clouds
218,Kemijarvi,FI,66.7131,27.4306,15.33,95,60,9.35,broken clouds
219,Bud,US,39.447,-86.1758,23.0,53,1,4.56,clear sky
220,Maniitsoq,GL,65.4167,-52.9,24.93,78,0,11.88,clear sky
221,Kieta,PG,-6.2167,155.6333,80.01,79,92,7.83,overcast clouds
222,Guerrero Negro,MX,27.9769,-114.0611,63.12,64,0,6.51,clear sky
223,Kon Tum,VN,14.35,108.0,61.05,92,19,2.44,few clouds
224,Zharkovskiy,RU,55.849,32.2697,3.9,93,100,7.54,overcast clouds
225,Kuching,MY,1.55,110.3333,75.2,100,40,1.14,moderate rain
226,Den Helder,NL,52.9599,4.7593,34.0,80,90,27.63,overcast clouds
227,Caxito,AO,-8.5785,13.6643,82.4,74,20,11.5,few clouds
228,Kirundo,BI,-2.5833,30.1667,64.0,100,75,9.22,moderate rain
229,Rosario,AR,-32.9468,-60.6393,88.0,39,0,3.44,clear sky
230,Buin,CL,-33.7333,-70.75,68.0,68,0,5.75,haze
231,Puerto El Triunfo,SV,13.2833,-88.55,89.6,61,0,6.91,clear sky
232,Harrison,US,30.4091,-89.0436,51.8,87,90,12.66,overcast clouds
233,Maslovka,RU,51.5535,39.2357,10.4,72,0,11.18,clear sky
